MaPhieu,KhuVuc,SoLuongKhach,GioDen,GhiChu
009602,1,2,11:09:00,
009603,1,9,10:33:00,
009604,2,4,15:44:00,
009605,3,6,13:26:00,
009606,3,2,21:14:00,
009607,1,3,15:46:00,
009608,3,4,16:26:00,
009609,1,6,21:10:00,
009610,1,2,13:04:00,
009611,3,7,11:40:00,
009612,3,9,21:32:00,
009613,1,4,15:14:00,
009614,3,3,17:33:00,
009615,1,6,18:30:00,
009616,2,3,18:45:00,
009617,2,9,13:04:00,
009618,2,10,16:06:00,
009619,3,4,21:50:00,
009620,2,3,09:18:00,
009621,1,4,15:16:00,
009622,3,4,19:47:00,
009623,2,2,19:42:00,
009624,1,10,21:17:00,
009625,3,11,16:26:00,
009626,2,9,09:50:00,
009627,2,6,14:04:00,
009628,2,4,17:49:00,
009629,3,6,16:50:00,
009630,2,5,09:18:00,
009631,2,9,14:38:00,
009632,2,5,17:32:00,
009633,2,4,14:29:00,
009634,1,6,17:38:00,
009635,1,2,15:09:00,
009636,2,8,19:22:00,
009637,3,4,17:39:00,
009638,3,4,15:09:00,
009639,1,6,19:34:00,
009640,2,5,20:32:00,
009641,1,11,17:08:00,
009642,2,11,15:15:00,
009643,3,6,20:25:00,
009644,2,9,16:29:00,
009645,2,5,10:17:00,
009646,2,7,15:45:00,
009647,1,10,17:45:00,
009648,2,11,09:15:00,
009649,1,9,10:04:00,
009650,3,3,13:34:00,
009651,2,3,16:46:00,
009652,2,11,16:01:00,
009653,3,3,21:25:00,
009654,2,3,21:49:00,
009655,1,9,13:25:00,
009656,1,7,12:25:00,
009657,2,5,13:16:00,
009658,1,8,19:03:00,
009659,3,4,19:43:00,
009660,3,6,09:00:00,
009661,3,4,10:03:00,
009662,3,4,21:30:00,
009663,2,10,13:34:00,
009664,1,10,21:28:00,
009665,3,10,09:22:00,
009666,2,2,10:10:00,
009667,2,6,15:45:00,
009668,3,8,18:30:00,
009669,1,6,17:30:00,
009670,2,5,12:26:00,
009671,2,3,09:46:00,
009672,3,6,09:48:00,
009673,2,5,13:43:00,
009674,3,8,09:39:00,
009675,1,3,19:40:00,
009676,3,2,10:33:00,
009677,3,7,18:32:00,
009678,3,10,12:09:00,
009679,1,6,15:09:00,
009680,1,3,14:36:00,
009681,2,2,09:07:00,
009682,1,9,18:28:00,
009683,2,9,21:05:00,
009684,2,10,10:50:00,
009685,2,2,16:00:00,
009686,1,9,12:21:00,
009687,2,7,17:25:00,
009688,2,5,10:46:00,
009689,3,9,15:31:00,
009690,1,10,14:05:00,
009691,2,9,17:43:00,
009692,3,9,16:49:00,
009693,3,5,15:46:00,
009694,3,11,18:35:00,
009695,1,11,21:20:00,
009696,3,7,17:43:00,
009697,1,2,10:40:00,
009698,1,10,16:12:00,
009699,3,4,16:32:00,
009700,2,5,11:33:00,
009701,3,2,20:45:00,
009702,1,4,09:10:00,
009703,2,7,21:21:00,
009704,1,10,15:09:00,
009705,1,5,17:50:00,
009706,2,2,19:13:00,
009707,2,9,15:32:00,
009708,3,6,11:44:00,
009709,3,9,10:26:00,
009710,1,11,18:47:00,
009711,1,9,13:19:00,
009712,2,3,18:14:00,
009713,3,9,19:38:00,
009714,2,8,12:07:00,
009715,3,8,20:09:00,
009716,2,5,20:30:00,
009717,1,2,19:07:00,
009718,1,3,12:19:00,
009719,3,2,17:00:00,
009720,3,2,16:41:00,
009721,3,7,09:45:00,
009722,2,2,14:09:00,
009723,1,6,13:23:00,
009724,3,2,09:45:00,
009725,3,7,20:43:00,
009726,3,9,13:34:00,
009727,1,8,21:24:00,
009728,3,7,17:00:00,
009729,2,4,10:43:00,
009730,3,5,18:14:00,
009731,2,11,10:09:00,
009732,3,3,15:22:00,
009733,3,6,21:25:00,
009734,1,6,15:05:00,
009735,1,3,20:34:00,
009736,1,8,11:17:00,
009737,1,5,20:29:00,
009738,2,3,21:18:00,
009739,1,6,21:29:00,
009740,2,3,16:02:00,
009741,3,7,11:23:00,
009742,1,10,09:36:00,
009743,3,9,16:15:00,
009744,2,2,10:10:00,
009745,1,10,19:11:00,
009746,1,4,18:02:00,
009747,3,4,10:42:00,
009748,2,2,17:38:00,
009749,3,5,12:45:00,
009750,3,2,18:06:00,
009751,3,3,21:09:00,
009752,2,8,21:14:00,
009753,3,5,21:09:00,
009754,3,10,20:03:00,
009755,2,9,09:43:00,
009756,1,9,14:16:00,
009757,3,5,09:20:00,
009758,1,8,17:25:00,
009759,1,6,13:39:00,
009760,3,3,21:39:00,
009761,1,9,13:18:00,
009762,1,10,21:35:00,
009763,3,2,18:27:00,
009764,2,9,19:04:00,
009765,2,7,15:02:00,
009766,1,2,15:11:00,
009767,2,8,21:41:00,
009768,3,9,19:41:00,
009769,1,5,15:13:00,
009770,3,11,09:47:00,
009771,1,5,11:43:00,
009772,2,10,20:15:00,
009773,1,8,15:29:00,
009774,3,4,10:01:00,
009775,3,9,21:26:00,
009776,2,7,14:43:00,
009777,2,10,16:17:00,
009778,1,5,12:30:00,
009779,3,8,17:15:00,
009780,3,11,09:39:00,
009781,3,5,15:35:00,
009782,2,6,10:21:00,
009783,3,3,09:26:00,
009784,2,11,13:39:00,
009785,3,2,21:11:00,
009786,2,5,13:23:00,
009787,1,5,14:16:00,
009788,2,7,16:42:00,
009789,2,11,11:49:00,
009790,1,8,13:39:00,
009791,3,3,14:24:00,
009792,2,5,15:21:00,
009793,2,11,14:05:00,
009794,3,7,12:45:00,
009795,3,6,14:42:00,
009796,3,8,17:29:00,
009797,3,4,21:24:00,
009798,2,4,21:36:00,
009799,2,9,20:11:00,
009800,2,11,18:46:00,
009801,2,2,17:25:00,
009802,3,6,13:30:00,
009803,1,8,10:46:00,
009804,1,6,19:42:00,
009805,1,3,19:18:00,
009806,1,2,16:42:00,
009807,1,11,18:23:00,
009808,1,8,18:16:00,
009809,1,10,19:42:00,
009810,2,3,16:04:00,
009811,1,2,21:23:00,
009812,1,11,20:38:00,
009813,2,11,14:12:00,
009814,3,10,16:08:00,
009815,3,4,17:09:00,
009816,3,2,21:12:00,
009817,2,2,20:22:00,
009818,2,4,13:18:00,
009819,2,4,19:40:00,
009820,1,11,17:38:00,
009821,2,10,12:32:00,
009822,1,8,16:46:00,
009823,1,2,14:27:00,
009824,2,3,16:16:00,
009825,2,8,11:22:00,
009826,2,2,18:34:00,
009827,2,4,16:32:00,
009828,1,7,17:06:00,
009829,1,10,09:18:00,
009830,2,5,14:48:00,
009831,2,5,10:30:00,
009832,2,10,21:03:00,
009833,1,7,16:03:00,
009834,3,9,15:49:00,
009835,2,8,09:37:00,
009836,1,6,15:27:00,
009837,3,8,11:40:00,
009838,3,11,20:23:00,
009839,3,11,19:37:00,
009840,1,5,11:43:00,
009841,3,9,11:22:00,
009842,1,10,21:27:00,
009843,3,6,21:35:00,
009844,3,9,12:00:00,
009845,2,2,20:43:00,
009846,2,11,18:50:00,
009847,1,5,11:16:00,
009848,1,3,13:27:00,
009849,1,11,15:07:00,
009850,2,4,21:03:00,
009851,1,8,10:22:00,
009852,3,8,18:09:00,
009853,2,11,11:34:00,
009854,2,5,11:05:00,
009855,1,2,15:38:00,
009856,1,3,12:26:00,
009857,3,5,18:02:00,
009858,2,8,15:24:00,
009859,3,6,14:16:00,
009860,2,4,18:27:00,
009861,1,3,20:06:00,
009862,3,7,15:08:00,
009863,1,2,14:50:00,
009864,2,5,14:22:00,
009865,2,2,16:16:00,
009866,2,9,21:21:00,
009867,2,11,15:10:00,
009868,2,5,20:08:00,
009869,3,10,17:49:00,
009870,2,9,10:11:00,
009871,1,6,11:47:00,
009872,2,10,11:50:00,
009873,1,4,17:46:00,
009874,3,8,11:35:00,
009875,2,8,13:42:00,
009876,3,10,13:32:00,
009877,1,8,20:05:00,
009878,1,2,14:05:00,
009879,2,5,18:39:00,
009880,3,8,17:11:00,
009881,1,3,10:22:00,
009882,3,10,10:39:00,
009883,2,6,10:48:00,
009884,1,7,20:35:00,
009885,1,8,12:22:00,
009886,2,5,09:47:00,
009887,3,7,20:11:00,
009888,3,8,21:46:00,
009889,3,2,14:11:00,
009890,3,4,12:11:00,
009891,2,7,12:23:00,
009892,3,9,17:12:00,
009893,3,6,09:35:00,
009894,3,7,19:07:00,
009895,3,8,13:41:00,
009896,3,8,15:50:00,
009897,3,4,16:13:00,
009898,2,10,19:05:00,
009899,1,7,15:27:00,
009900,2,10,09:22:00,
009901,3,5,19:42:00,
009902,1,3,20:40:00,
009903,1,4,12:16:00,
009904,1,2,10:20:00,
009905,1,6,12:39:00,
009906,3,3,11:00:00,
009907,3,10,21:36:00,
009908,3,3,18:16:00,
009909,2,4,10:44:00,
009910,3,4,10:41:00,
009911,1,6,20:39:00,
009912,2,2,15:38:00,
009913,3,8,20:16:00,
009914,3,9,09:26:00,
009915,3,8,21:05:00,
009916,3,7,18:10:00,
009917,3,2,11:19:00,
009918,3,8,18:14:00,
009919,3,7,21:31:00,
009920,3,2,15:36:00,
009921,3,9,11:13:00,
009922,3,9,19:01:00,
009923,3,3,13:47:00,
009924,1,6,14:29:00,
009925,2,9,17:17:00,
009926,2,9,11:36:00,
009927,2,11,16:34:00,
009928,2,4,19:06:00,
009929,1,3,19:47:00,
009930,1,3,11:08:00,
009931,3,5,17:12:00,
009932,3,5,19:31:00,
009933,3,10,20:32:00,
009934,3,10,19:37:00,
009935,2,10,19:25:00,
009936,3,7,09:08:00,
009937,3,10,09:40:00,
009938,2,5,11:29:00,
009939,2,3,20:02:00,
009940,3,2,18:21:00,
009941,3,7,14:14:00,
009942,1,6,19:17:00,
009943,3,11,09:17:00,
009944,1,2,20:27:00,
009945,3,4,10:29:00,
009946,3,2,15:13:00,
009947,3,4,13:03:00,
009948,2,6,12:42:00,
009949,2,10,15:31:00,
009950,1,11,12:40:00,
009951,3,7,17:16:00,
009952,1,11,19:26:00,
009953,3,4,09:43:00,
009954,3,6,18:18:00,
009955,3,3,14:36:00,
009956,1,10,17:08:00,
009957,1,7,15:32:00,
009958,3,11,10:47:00,
009959,1,9,18:47:00,
009960,1,3,14:31:00,
009961,3,5,21:06:00,
009962,3,3,19:34:00,
009963,2,7,10:26:00,
009964,3,6,10:00:00,
009965,2,7,16:04:00,
009966,2,10,11:32:00,
009967,1,8,10:14:00,
009968,2,4,20:39:00,
009969,3,7,09:02:00,
009970,1,11,16:32:00,
009971,2,11,09:46:00,
009972,2,8,21:20:00,
009973,2,8,10:22:00,
009974,2,4,17:01:00,
009975,3,2,21:31:00,
009976,1,7,10:08:00,
009977,2,2,17:18:00,
009978,2,2,19:21:00,
009979,1,3,12:01:00,
009980,1,4,14:13:00,
009981,3,2,21:49:00,
009982,2,4,21:15:00,
009983,2,5,13:01:00,
009984,3,9,14:14:00,
009985,2,10,09:15:00,
009986,3,8,11:28:00,
009987,3,4,12:26:00,
009988,1,11,11:11:00,
009989,3,8,11:00:00,
009990,1,9,12:04:00,
009991,1,7,15:26:00,
009992,1,11,10:26:00,
009993,1,5,21:38:00,
009994,1,8,09:24:00,
009995,1,8,20:32:00,
009996,1,5,13:06:00,
009997,2,9,11:10:00,
009998,2,8,11:44:00,
009999,1,9,12:40:00,
010000,2,10,21:21:00,
010001,2,9,16:14:00,
010002,3,8,21:40:00,
010003,1,9,19:04:00,
010004,3,7,11:21:00,
010005,1,10,09:47:00,
010006,2,8,20:11:00,
010007,3,10,13:13:00,
010008,3,11,10:42:00,
010009,3,6,09:24:00,
010010,3,11,18:34:00,
010011,2,4,10:08:00,
010012,3,6,20:37:00,
010013,2,7,16:07:00,
010014,3,8,15:40:00,
010015,2,8,20:10:00,
010016,1,11,21:40:00,
010017,2,8,21:06:00,
010018,2,7,17:01:00,
010019,3,9,19:45:00,
010020,2,2,12:26:00,
010021,1,9,18:49:00,
010022,2,11,17:41:00,
010023,1,4,21:21:00,
010024,1,11,18:43:00,
010025,3,10,11:26:00,
010026,3,3,11:29:00,
010027,1,2,09:12:00,
010028,3,8,15:48:00,
010029,3,5,09:06:00,
010030,3,5,17:26:00,
010031,2,11,10:20:00,
010032,1,11,18:13:00,
010033,3,7,13:31:00,
010034,3,3,15:14:00,
010035,3,5,16:49:00,
010036,3,10,12:17:00,
010037,2,8,14:35:00,
010038,3,9,21:07:00,
010039,3,6,09:36:00,
010040,2,6,21:32:00,
010041,1,5,17:44:00,
010042,2,4,21:25:00,
010043,2,3,15:12:00,
010044,1,4,12:05:00,
010045,2,9,17:23:00,
010046,3,8,14:09:00,
010047,3,3,15:01:00,
010048,1,2,11:27:00,
010049,2,10,16:44:00,
010050,2,7,10:41:00,
010051,2,10,15:20:00,
010052,3,7,18:04:00,
010053,3,6,11:09:00,
010054,2,4,12:07:00,
010055,3,7,13:26:00,
010056,1,5,09:34:00,
010057,3,4,16:18:00,
010058,2,8,20:41:00,
010059,1,11,17:14:00,
010060,3,8,11:17:00,
010061,2,6,13:07:00,
010062,3,8,19:25:00,
010063,3,7,11:28:00,
010064,2,5,11:42:00,
010065,3,7,10:28:00,
010066,1,8,19:25:00,
010067,2,8,11:37:00,
010068,1,8,20:11:00,
010069,1,8,11:17:00,
010070,1,4,18:11:00,
010071,3,3,16:49:00,
010072,3,4,19:35:00,
010073,1,2,14:35:00,
010074,1,5,10:33:00,
010075,1,7,10:40:00,
010076,1,7,21:48:00,
010077,1,9,12:22:00,
010078,1,8,11:43:00,
010079,1,2,19:21:00,
010080,1,5,16:09:00,
010081,2,2,17:44:00,
010082,1,6,17:34:00,
010083,1,4,11:23:00,
010084,2,7,17:50:00,
010085,2,3,15:20:00,
010086,2,4,10:13:00,
010087,2,5,16:22:00,
010088,2,7,12:07:00,
010089,1,2,16:05:00,
010090,1,10,15:21:00,
010091,1,5,10:38:00,
010092,2,4,09:10:00,
010093,2,6,16:12:00,
010094,2,11,09:33:00,
010095,3,7,19:03:00,
010096,1,5,13:19:00,
010097,1,7,19:25:00,
010098,3,5,14:41:00,
010099,1,4,19:45:00,
010100,1,6,11:49:00,
010101,2,10,11:34:00,
010102,3,8,17:26:00,
010103,1,2,09:31:00,
010104,3,4,12:30:00,
010105,2,7,16:35:00,
010106,2,3,13:41:00,
010107,2,10,15:07:00,
010108,3,7,16:23:00,
010109,1,9,15:05:00,
010110,3,2,11:31:00,
010111,1,6,16:05:00,
010112,3,5,15:44:00,
010113,3,10,17:29:00,
010114,3,3,19:48:00,
010115,2,4,18:19:00,
010116,2,10,19:19:00,
010117,2,5,21:46:00,
010118,1,11,13:46:00,
010119,2,5,17:30:00,
010120,3,6,19:08:00,
010121,2,2,15:29:00,
010122,1,8,19:30:00,
010123,3,6,19:01:00,
010124,3,11,12:10:00,
010125,1,4,11:30:00,
010126,3,9,20:02:00,
010127,1,6,20:28:00,
010128,1,4,12:16:00,
010129,2,5,16:15:00,
010130,2,4,19:45:00,
010131,1,2,18:47:00,
010132,1,11,20:12:00,
010133,3,11,17:32:00,
010134,1,6,17:10:00,
010135,2,3,21:24:00,
010136,3,8,12:35:00,
010137,2,7,13:10:00,
010138,1,6,20:27:00,
010139,2,4,12:44:00,
010140,1,10,13:34:00,
010141,1,2,12:12:00,
010142,2,4,10:46:00,
010143,3,9,10:34:00,
010144,3,6,10:10:00,
010145,3,4,10:01:00,
010146,2,10,17:23:00,
010147,2,7,20:28:00,
010148,3,2,17:33:00,
010149,2,8,16:36:00,
010150,3,10,14:01:00,
010151,3,4,11:31:00,
010152,1,4,13:38:00,
010153,3,9,12:14:00,
010154,1,5,13:50:00,
010155,3,7,15:24:00,
010156,1,11,11:15:00,
010157,3,2,14:22:00,
010158,1,6,13:24:00,
010159,2,8,18:03:00,
010160,2,9,16:09:00,
010161,1,9,19:35:00,
010162,1,8,18:38:00,
010163,1,10,16:11:00,
010164,2,11,17:21:00,
010165,1,8,13:49:00,
010166,1,4,21:45:00,
010167,2,8,13:47:00,
010168,2,4,15:34:00,
010169,1,8,10:49:00,
010170,2,2,17:18:00,
010171,1,10,11:37:00,
010172,1,9,19:36:00,
010173,2,8,17:26:00,
010174,3,8,18:04:00,
010175,3,11,15:07:00,
010176,3,9,14:30:00,
010177,3,5,15:09:00,
010178,2,5,13:42:00,
010179,3,4,09:03:00,
010180,1,10,20:34:00,
010181,2,3,15:00:00,
010182,3,2,19:39:00,
010183,1,11,13:39:00,
010184,1,5,15:25:00,
010185,3,7,15:32:00,
010186,3,11,17:18:00,
010187,3,9,17:09:00,
010188,1,5,21:35:00,
010189,1,10,14:33:00,
010190,3,11,11:03:00,
010191,3,5,15:09:00,
010192,3,6,12:31:00,
010193,1,8,10:41:00,
010194,3,6,21:12:00,
010195,3,8,09:10:00,
010196,1,6,12:06:00,
010197,3,9,11:46:00,
010198,1,4,09:31:00,
010199,1,5,15:50:00,
010200,3,6,09:18:00,
010201,2,4,18:07:00,
010202,3,9,11:43:00,
010203,3,2,21:44:00,
010204,3,8,14:12:00,
010205,3,5,14:30:00,
010206,1,5,11:25:00,
010207,1,8,17:36:00,
010208,3,9,12:33:00,
010209,2,4,15:38:00,
010210,3,10,12:41:00,
010211,2,4,17:02:00,
010212,1,6,21:04:00,
010213,3,3,20:50:00,
010214,2,8,17:30:00,
010215,3,4,09:07:00,
010216,3,4,21:20:00,
010217,2,9,10:19:00,
010218,3,7,14:05:00,
010219,2,9,20:30:00,
010220,2,10,21:06:00,
010221,3,6,17:37:00,
010222,1,11,16:04:00,
010223,1,6,15:46:00,
010224,3,7,20:45:00,
010225,1,4,12:03:00,
010226,2,9,13:26:00,
010227,1,4,18:19:00,
010228,1,11,14:04:00,
010229,2,8,19:49:00,
010230,2,4,15:27:00,
010231,2,4,20:46:00,
010232,3,8,20:44:00,
010233,3,5,16:36:00,
010234,3,9,15:30:00,
010235,1,9,15:22:00,
010236,1,9,12:42:00,
010237,3,4,21:44:00,
010238,2,11,11:14:00,
010239,1,2,09:23:00,
010240,1,5,14:38:00,
010241,3,7,19:44:00,
010242,2,9,15:06:00,
010243,2,7,21:02:00,
010244,3,7,12:30:00,
010245,3,2,14:26:00,
010246,1,6,17:03:00,
010247,3,3,15:06:00,
010248,3,8,09:02:00,
010249,3,5,17:29:00,
010250,1,2,20:25:00,
010251,1,5,17:04:00,
010252,2,2,20:08:00,
010253,2,7,14:12:00,
010254,3,10,20:22:00,
010255,3,7,17:18:00,
010256,2,2,13:40:00,
010257,2,5,18:35:00,
010258,2,5,16:02:00,
010259,1,5,18:50:00,
010260,2,7,20:24:00,
010261,3,11,19:44:00,
010262,2,8,09:41:00,
010263,1,5,11:16:00,
010264,3,7,18:26:00,
010265,1,8,14:43:00,
010266,1,8,09:07:00,
010267,3,9,13:16:00,
010268,3,9,12:33:00,
010269,3,3,18:47:00,
010270,3,6,10:23:00,
010271,2,4,15:18:00,
010272,2,7,10:43:00,
010273,1,2,16:00:00,
010274,1,3,17:01:00,
010275,3,6,19:25:00,
010276,2,9,11:28:00,
010277,1,6,10:21:00,
010278,1,8,10:15:00,
010279,3,7,11:01:00,
010280,1,3,15:45:00,
010281,3,9,17:35:00,
010282,3,10,11:42:00,
010283,2,11,10:24:00,
010284,2,2,15:19:00,
010285,2,11,20:21:00,
010286,3,10,14:12:00,
010287,3,5,19:49:00,
010288,3,8,12:48:00,
010289,1,8,14:43:00,
010290,1,4,09:13:00,
010291,2,6,14:15:00,
010292,1,5,14:37:00,
010293,3,2,15:01:00,
010294,2,10,16:17:00,
010295,3,11,13:20:00,
010296,2,2,11:17:00,
010297,1,5,21:35:00,
010298,2,6,20:42:00,
010299,3,6,21:45:00,
010300,2,5,18:37:00,
010301,2,8,13:39:00,
010302,1,8,09:47:00,
010303,2,5,15:03:00,
010304,3,8,14:00:00,
010305,3,2,21:02:00,
010306,3,11,19:03:00,
010307,1,5,16:25:00,
010308,3,11,16:16:00,
010309,2,7,15:47:00,
010310,3,9,15:10:00,
010311,3,10,10:45:00,
010312,1,2,18:11:00,
010313,1,9,12:11:00,
010314,2,10,20:47:00,
010315,1,3,13:43:00,
010316,1,11,15:32:00,
010317,2,6,14:41:00,
010318,1,3,12:24:00,
010319,1,6,09:35:00,
010320,3,10,17:00:00,
010321,3,9,21:09:00,
010322,2,7,20:28:00,
010323,1,10,21:07:00,
010324,1,3,16:06:00,
010325,1,3,15:04:00,
010326,1,4,18:47:00,
010327,1,2,14:11:00,
010328,1,10,21:00:00,
010329,3,2,15:03:00,
010330,3,10,13:21:00,
010331,2,6,17:09:00,
010332,2,8,15:20:00,
010333,3,10,15:25:00,
010334,3,2,09:47:00,
010335,3,6,14:41:00,
010336,2,8,21:05:00,
010337,2,7,10:32:00,
010338,1,11,12:29:00,
010339,2,3,18:32:00,
010340,3,5,13:17:00,
010341,3,8,14:08:00,
010342,1,10,12:33:00,
010343,2,5,12:38:00,
010344,3,8,17:21:00,
010345,2,9,12:41:00,
010346,1,2,10:03:00,
010347,3,9,15:13:00,
010348,2,5,19:20:00,
010349,3,6,16:10:00,
010350,2,5,19:35:00,
010351,1,4,21:47:00,
010352,1,7,11:33:00,
010353,2,3,11:41:00,
010354,3,3,15:36:00,
010355,2,11,19:13:00,
010356,2,7,19:25:00,
010357,3,7,18:36:00,
010358,1,3,14:11:00,
010359,1,4,14:18:00,
010360,2,11,20:19:00,
010361,2,4,11:37:00,
010362,3,6,14:31:00,
010363,2,3,21:50:00,
010364,3,6,18:11:00,
010365,2,4,18:16:00,
010366,3,10,21:30:00,
010367,3,5,14:33:00,
010368,1,4,18:02:00,
010369,2,5,15:18:00,
010370,1,2,15:49:00,
010371,3,11,20:36:00,
010372,1,2,11:15:00,
010373,1,7,09:46:00,
010374,3,2,19:24:00,
010375,3,5,10:49:00,
010376,3,10,14:39:00,
010377,2,8,20:01:00,
010378,1,2,11:27:00,
010379,1,5,13:50:00,
010380,1,6,16:19:00,
010381,3,8,18:15:00,
010382,2,7,10:05:00,
010383,1,4,09:44:00,
010384,2,5,12:37:00,
010385,2,9,20:33:00,
010386,2,9,16:44:00,
010387,1,5,16:16:00,
010388,3,2,18:49:00,
010389,3,5,20:50:00,
010390,3,6,21:16:00,
010391,2,3,21:00:00,
010392,2,4,10:29:00,
010393,3,2,15:26:00,
010394,1,5,21:36:00,
010395,3,4,12:01:00,
010396,1,4,09:36:00,
010397,1,10,18:06:00,
010398,2,2,18:33:00,
010399,3,5,09:10:00,
010400,1,9,16:42:00,
010401,1,7,18:28:00,
010402,1,10,15:07:00,
010403,1,4,09:32:00,
010404,3,2,13:37:00,
010405,1,9,20:03:00,
010406,1,8,21:50:00,
010407,3,10,15:48:00,
010408,1,2,17:29:00,
010409,1,6,09:20:00,
010410,1,8,10:02:00,
010411,3,8,16:10:00,
010412,2,4,10:29:00,
010413,1,9,16:02:00,
010414,3,8,09:43:00,
010415,3,11,09:24:00,
010416,1,10,17:00:00,
010417,2,4,11:12:00,
010418,1,10,16:24:00,
010419,3,3,17:46:00,
010420,1,10,13:34:00,
010421,3,3,21:20:00,
010422,3,6,10:00:00,
010423,3,5,15:49:00,
010424,1,9,17:45:00,
010425,3,11,17:44:00,
010426,3,7,10:11:00,
010427,2,3,09:13:00,
010428,3,8,21:09:00,
010429,3,4,09:11:00,
010430,1,8,17:35:00,
010431,3,9,15:35:00,
010432,3,10,21:10:00,
010433,3,7,21:18:00,
010434,2,8,10:22:00,
010435,2,5,10:23:00,
010436,1,7,13:49:00,
010437,1,11,10:23:00,
010438,2,9,20:31:00,
010439,3,10,20:45:00,
010440,2,4,16:49:00,
010441,3,5,20:50:00,
010442,3,11,21:31:00,
010443,2,3,21:20:00,
010444,3,2,21:29:00,
010445,3,7,17:07:00,
010446,2,8,18:22:00,
010447,1,6,19:14:00,
010448,2,4,18:06:00,
010449,3,11,16:28:00,
010450,2,10,10:40:00,
010451,1,7,12:27:00,
010452,2,7,21:48:00,
010453,3,3,11:17:00,
010454,1,2,12:27:00,
010455,3,3,20:03:00,
010456,3,8,11:35:00,
010457,2,4,13:27:00,
010458,1,6,09:26:00,
010459,2,4,21:33:00,
010460,3,6,10:45:00,
010461,2,9,11:24:00,
010462,2,6,16:21:00,
010463,3,10,13:37:00,
010464,2,7,15:10:00,
010465,3,8,17:21:00,
010466,1,8,19:01:00,
010467,3,3,12:12:00,
010468,3,3,11:02:00,
010469,2,11,16:21:00,
010470,3,6,16:50:00,
010471,2,9,19:18:00,
010472,3,5,20:08:00,
010473,3,11,19:32:00,
010474,1,6,10:11:00,
010475,3,7,20:18:00,
010476,2,10,19:24:00,
010477,2,11,20:06:00,
010478,3,5,13:48:00,
010479,2,2,17:28:00,
010480,1,9,13:06:00,
010481,2,2,20:30:00,
010482,2,5,18:08:00,
010483,1,10,10:12:00,
010484,1,6,20:19:00,
010485,2,10,18:13:00,
010486,1,11,18:36:00,
010487,2,10,15:31:00,
010488,3,2,19:28:00,
010489,3,8,20:26:00,
010490,1,6,16:32:00,
010491,2,4,14:29:00,
010492,1,6,12:04:00,
010493,3,2,10:12:00,
010494,2,3,17:00:00,
010495,2,6,14:04:00,
010496,1,7,20:20:00,
010497,3,6,13:50:00,
010498,1,5,13:16:00,
010499,3,3,21:49:00,
010500,3,9,10:19:00,
010501,2,11,10:18:00,
010502,2,6,15:48:00,
010503,1,11,10:26:00,
010504,3,3,09:45:00,
010505,1,6,10:19:00,
010506,2,8,16:34:00,
010507,2,3,09:09:00,
010508,1,5,11:29:00,
010509,1,8,11:16:00,
010510,3,7,18:43:00,
010511,1,8,16:11:00,
010512,3,5,19:49:00,
010513,1,11,11:14:00,
010514,2,4,10:27:00,
010515,3,11,10:05:00,
010516,1,9,17:42:00,
010517,3,9,21:28:00,
010518,1,9,20:10:00,
010519,1,7,12:11:00,
010520,3,3,16:15:00,
010521,2,7,10:46:00,
010522,2,10,12:36:00,
010523,3,11,11:37:00,
010524,3,9,12:27:00,
010525,1,11,17:03:00,
010526,2,8,14:30:00,
010527,2,7,11:49:00,
010528,1,2,16:17:00,
010529,1,4,16:03:00,
010530,2,3,18:11:00,
010531,1,9,20:03:00,
010532,3,10,13:26:00,
010533,1,6,21:43:00,
010534,3,7,19:43:00,
010535,1,3,19:13:00,
010536,2,3,21:19:00,
010537,1,8,20:30:00,
010538,3,9,19:10:00,
010539,3,5,12:48:00,
010540,2,4,15:11:00,
010541,3,7,09:16:00,
010542,3,6,19:35:00,
010543,2,2,10:48:00,
010544,2,2,09:37:00,
010545,2,10,17:49:00,
010546,3,2,14:18:00,
010547,1,2,19:39:00,
010548,2,2,19:37:00,
010549,3,6,13:04:00,
010550,3,8,12:10:00,
010551,2,11,14:06:00,
010552,1,2,14:08:00,
010553,1,8,16:47:00,
010554,1,8,11:45:00,
010555,3,11,18:12:00,
010556,1,5,21:43:00,
010557,2,11,10:34:00,
010558,1,10,19:23:00,
010559,1,3,12:38:00,
010560,3,2,10:19:00,
010561,3,4,20:46:00,
010562,2,9,18:11:00,
010563,1,4,19:43:00,
010564,1,11,11:42:00,
010565,2,11,13:26:00,
010566,2,7,16:04:00,
010567,3,9,13:05:00,
010568,1,6,21:48:00,
010569,1,2,11:22:00,
010570,1,11,16:04:00,
010571,1,8,18:06:00,
010572,3,7,15:42:00,
010573,1,9,21:49:00,
010574,3,2,21:23:00,
010575,2,7,14:09:00,
010576,1,9,20:18:00,
010577,1,3,10:46:00,
010578,1,3,14:46:00,
010579,2,5,12:47:00,
010580,1,4,09:42:00,
010581,1,11,17:03:00,
010582,2,2,20:28:00,
010583,2,3,19:38:00,
010584,2,2,15:06:00,
010585,3,8,21:47:00,
010586,2,7,18:33:00,
010587,3,4,19:31:00,
010588,3,9,19:48:00,
010589,2,3,20:35:00,
010590,1,4,14:27:00,
010591,3,5,09:07:00,
010592,2,11,11:00:00,
010593,3,6,16:46:00,
010594,3,6,18:01:00,
010595,2,9,09:09:00,
010596,3,6,20:08:00,
010597,1,10,17:50:00,
010598,1,9,09:16:00,
